l_activityId,activityId,ID1,ID2,createdTime,logDate,logDateTime,logEndTime,steps,distance,calories,activityType,description,status,descriptionCount
1142,0,0,0,2025-05-29,2025-05-29,2025-05-29 21:00:00,2025-05-29 21:10,39,3,113,1,12~0~0~15~0~0~0~0~12~0,new,10
1143,0,1,0,2025-05-29,2025-05-29,2025-05-29 20:25:00,2025-05-29 20:35,118,6,367,1,20~0~12~0~45~10~10~21~0~0,new,10
1144,0,2,0,2025-05-29,2025-05-29,2025-05-29 20:10:00,2025-05-29 20:20,157,9,591,1,19~84~40~14~0~0~0~0~0~0,new,10
1145,0,3,0,2025-05-29,2025-05-29,2025-05-29 20:00:00,2025-05-29 20:10,15,1,59,1,15~0~0~0~0~0~0~0~0~0,new,10
1146,0,4,0,2025-05-29,2025-05-29,2025-05-29 19:50:00,2025-05-29 20:00,423,27,1619,1,18~63~101~91~46~0~57~47~0~0,new,10
1147,0,5,0,2025-05-29,2025-05-29,2025-05-29 19:08:00,2025-05-29 19:18,13,0,52,1,13~0~0~0~0~0~0~0~0~0,new,10
1148,0,6,0,2025-05-29,2025-05-29,2025-05-29 18:56:00,2025-05-29 19:06,200,13,738,1,84~0~69~0~0~19~28~0~0~0,new,10
1149,0,7,0,2025-05-29,2025-05-29,2025-05-29 18:36:00,2025-05-29 18:46,342,21,1277,1,84~43~108~72~35~0~0~0~0~0,new,10
1150,0,8,0,2025-05-29,2025-05-29,2025-05-29 18:21:00,2025-05-29 18:31,34,1,130,1,34~0~0~0~0~0~0~0~0~0,new,10
1151,0,9,0,2025-05-29,2025-05-29,2025-05-29 18:10:00,2025-05-29 18:20,487,30,1922,1,80~51~0~119~118~83~16~0~20~0,new,10
